p_column,threshold,pfa,pd
p_0.01,0.9272132599727715,1.0,1.0
p_0.01,0.9272154020636145,1.0,1.0
p_0.01,0.9272175441544576,1.0,1.0
p_0.01,0.9272196862453007,1.0,1.0
p_0.01,0.9272218283361437,1.0,1.0
p_0.01,0.9272239704269868,1.0,1.0
p_0.01,0.9272261125178299,1.0,1.0
p_0.01,0.927228254608673,1.0,1.0
p_0.01,0.927230396699516,1.0,1.0
p_0.01,0.9272325387903592,1.0,1.0
p_0.01,0.9272346808812022,1.0,1.0
p_0.01,0.9272368229720452,1.0,1.0
p_0.01,0.9272389650628883,1.0,1.0
p_0.01,0.9272411071537314,1.0,1.0
p_0.01,0.9272432492445745,1.0,1.0
p_0.01,0.9272453913354175,1.0,1.0
p_0.01,0.9272475334262607,1.0,1.0
p_0.01,0.9272496755171037,1.0,1.0
p_0.01,0.9272518176079467,1.0,1.0
p_0.01,0.9272539596987899,1.0,1.0
p_0.01,0.9272561017896329,1.0,1.0
p_0.01,0.927258243880476,1.0,1.0
p_0.01,0.927260385971319,1.0,1.0
p_0.01,0.9272625280621621,1.0,1.0
p_0.01,0.9272646701530052,1.0,1.0
p_0.01,0.9272668122438482,1.0,1.0
p_0.01,0.9272689543346914,1.0,1.0
p_0.01,0.9272710964255344,1.0,1.0
p_0.01,0.9272732385163774,1.0,1.0
p_0.01,0.9272753806072206,1.0,1.0
p_0.01,0.9272775226980636,1.0,1.0
p_0.01,0.9272796647889067,1.0,1.0
p_0.01,0.9272818068797497,1.0,1.0
p_0.01,0.9272839489705929,1.0,1.0
p_0.01,0.9272860910614359,1.0,1.0
p_0.01,0.9272882331522789,1.0,1.0
p_0.01,0.9272903752431221,1.0,1.0
p_0.01,0.9272925173339651,1.0,1.0
p_0.01,0.9272946594248082,1.0,1.0
p_0.01,0.9272968015156513,1.0,1.0
p_0.01,0.9272989436064943,1.0,1.0
p_0.01,0.9273010856973374,1.0,1.0
p_0.01,0.9273032277881804,1.0,1.0
p_0.01,0.9273053698790236,1.0,1.0
p_0.01,0.9273075119698666,1.0,1.0
p_0.01,0.9273096540607096,1.0,1.0
p_0.01,0.9273117961515528,1.0,1.0
p_0.01,0.9273139382423958,1.0,1.0
p_0.01,0.9273160803332389,1.0,1.0
p_0.01,0.927318222424082,1.0,1.0
p_0.01,0.927320364514925,1.0,1.0
p_0.01,0.9273225066057681,1.0,1.0
p_0.01,0.9273246486966111,1.0,1.0
p_0.01,0.9273267907874543,1.0,1.0
